"AutoCad
Type","AutoCad
Port1_NominalDiameter","AutoCad
Class","AutoCad
Spec","AutoCad
Material","AutoCad
Length","AutoCad
Line Number","AutoCad
Tag","Item
Source File","AutoCad
PnPGuid","AutoCad
PnPID","AutoCad
Status","AutoCad
Position X","AutoCad
Position Y","AutoCad
Position Z","AutoCad
WeightUnit","AutoCad
LengthUnit","AutoCad
Service","Item
GUID","AutoCad
DP"
,1200,Pipe,,ByLayer,"30000,129738",?,?,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,2c23b541-74f2-488d-8c41-0a6dace2ea55,27004,New,"50692,855493","211415,620601",4115,KG,,,2a19097a-df61-549a-aa9a-287dd3e08263,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,e7cc74ea-1f86-57fe-b0ac-2b3922f1a25a,
,1200,Pipe,,ByLayer,"20087,962722",1200-SCS-00001-GRP,1200-SCS-00001-GRP,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,8a939516-b59d-4630-b79c-cccdb8233ad8,27014,New,"50686,043029","204831,398294",4115,KG,,SCS,d9cb0acf-ed81-51bb-a452-604494d4390f,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,25f1a5b1-a411-551e-93e3-94a19c0f4c86,
,1200,Pipe,,ByLayer,"20087,962722",1200-SCS-00002-GRP,1200-SCS-00002-GRP,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,f4eab425-1151-41ef-9b26-327bc8fbac9c,27016,New,"50686,043029","202481,526225",4115,KG,,SCS,05ccd088-2162-5374-a470-697afb665f18,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,c3297ea2-fab3-5ce4-90ec-3bb7942a2b1b,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,6bd897f3-ee41-5223-930b-b46f6e309ac6,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,180220ef-6c6f-5766-934f-38461caae387,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,ead97c0f-1e1d-5cb9-b0ee-0b9030e3a8a8,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,438a76ea-c887-549c-9cb4-4735d2bfa270,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,67d55bbb-a919-5961-8100-6299863cbce7,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,05655198-1e6c-5253-b793-efb31b3fc2a8,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,2120c843-7bf1-50db-8457-c1fb7a45134b,
,,,,,,,,JH-MOD-M-02-0001_DJV MECHANICAL MODEL.dwg,,,,,,,,,,1f362b27-8360-585a-bff2-13b25533c748,
