"Item
Name","Item
Type","Structural Material
Name","Item
Material","Element
Name","Element
Type","Element
Family","Element
Category","Element
Id","Element
Area m²","Element
Elevation at Bottom m","Element
Elevation at Top m","Element
Level","Element
Perimeter m","Item
GUID","Item
Source File"
Non-Monolithic Landing,Landings: Non-Monolithic Landing: Non-Monolithic Landing,,,Non-Monolithic Landing,Non-Monolithic Landing,Non-Monolithic Landing,Landings,22931646,,,,,,2176602f-d981-4f8c-b896-110073a853c1,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED,,,INDUSTRIAL TOP MOUNTED,INDUSTRIAL TOP MOUNTED,Railing,Railings,22927764,,,,,,d0254413-f427-4248-9039-6dfc96f31029,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED,,,INDUSTRIAL TOP MOUNTED,INDUSTRIAL TOP MOUNTED,Railing,Railings,22927768,,,,,,d0254413-f427-4248-9039-6dfc96f31025,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED,,,INDUSTRIAL TOP MOUNTED,INDUSTRIAL TOP MOUNTED,Railing,Railings,22929494,,,,,,f97fea0a-5173-4c90-a75c-88a223038425,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED,,,INDUSTRIAL TOP MOUNTED,INDUSTRIAL TOP MOUNTED,Railing,Railings,22931659,,,,,,2176602f-d981-4f8c-b896-110073a853b4,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED,,,INDUSTRIAL TOP MOUNTED,INDUSTRIAL TOP MOUNTED,Railing,Railings,22931680,,,,,,2176602f-d981-4f8c-b896-110073a8539f,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED,,,INDUSTRIAL TOP MOUNTED,INDUSTRIAL TOP MOUNTED,Railing,Railings,22931710,,,,,,2176602f-d981-4f8c-b896-110073a85381,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Non-Monolithic Run,Runs: Non-Monolithic Run: Industrial GridMesh,,,Industrial GridMesh,Industrial GridMesh,Non-Monolithic Run,Runs,22925221,,,,,,b27014c3-f8ee-4463-a98a-7c590b386d78,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Non-Monolithic Run,Runs: Non-Monolithic Run: Industrial GridMesh,,,Industrial GridMesh,Industrial GridMesh,Non-Monolithic Run,Runs,22931639,,,,,,2176602f-d981-4f8c-b896-110073a853c8,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Assembled Stair,Stairs: Assembled Stair: Industrial Stair GridMesh,,,Stair,Industrial Stair GridMesh,Assembled Stair,Stairs,22909029,,,,,,e0e470b6-c7f8-4764-9a43-f654881cb7df,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Assembled Stair,Stairs: Assembled Stair: Industrial Stair GridMesh,,,Stair,Industrial Stair GridMesh,Assembled Stair,Stairs,22931638,,,,,,2176602f-d981-4f8c-b896-110073a853c9,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 250 RC Fdn Slab,,10_ST_Concrete Insitu - 040MPa,250 RC Fdn Slab,250 RC Fdn Slab,Foundation Slab,Structural Foundations,22913090,54.639,-7.15,-6.9,"Level ""TOC SLAB"", #22636762",33.402,1a7d6260-d9d6-47ab-ac51-0d465e42fc0d,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 250 RC Fdn Slab,,10_ST_Concrete Insitu - 040MPa,250 RC Fdn Slab,250 RC Fdn Slab,Foundation Slab,Structural Foundations,22913117,1.21,-7.75,-7.5,"Level ""TOC SLAB"", #22636762",4.4,1a7d6260-d9d6-47ab-ac51-0d465e42fc12,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 350 RC Fdn Slab,,10_ST_Concrete Insitu - 040MPa,350 RC Fdn Slab,350 RC Fdn Slab,Foundation Slab,Structural Foundations,22913104,0.85,-7.5,-7.15,"Level ""TOC SLAB"", #22636762",6.8,1a7d6260-d9d6-47ab-ac51-0d465e42fc1f,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 190mm Pump Plinth,,10_ST_Concrete Insitu - 040MPa,190mm Pump Plinth,190mm Pump Plinth,Foundation Slab,Structural Foundations,22914714,0.862,-6.9,-6.71,"Level ""TOC PLINTH"", #22630485",3.8,07429d3e-538f-41a7-ac09-b31afa15d689,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 190mm Pump Plinth,,10_ST_Concrete Insitu - 040MPa,190mm Pump Plinth,190mm Pump Plinth,Foundation Slab,Structural Foundations,22915477,0.862,-6.9,-6.71,"Level ""TOC PLINTH"", #22630485",3.8,07429d3e-538f-41a7-ac09-b31afa15d986,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 190mm Pump Plinth,,10_ST_Concrete Insitu - 040MPa,190mm Pump Plinth,190mm Pump Plinth,Foundation Slab,Structural Foundations,22915503,0.862,-6.9,-6.71,"Level ""TOC PLINTH"", #22630485",3.8,07429d3e-538f-41a7-ac09-b31afa15d9bc,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 300 RC Pad,,10_ST_Concrete Insitu - 040MPa,300 RC Pad,300 RC Pad,Foundation Slab,Structural Foundations,22937785,1.44,-6.205,-5.905,"Level ""TOC WALL"", #22637017",4.8,40eefa11-2d1a-4adf-826e-76750434e979,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Stringer,Supports: Stringer: Stringer - PFC200,,1000_STEEL GALVANIZED,Stringer - PFC200,Stringer - PFC200,Stringer,Supports,22925223,,,,,,b27014c3-f8ee-4463-a98a-7c590b386d7a,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Stringer,Supports: Stringer: Stringer - PFC200,,1000_STEEL GALVANIZED,Stringer - PFC200,Stringer - PFC200,Stringer,Supports,22925224,,,,,,b27014c3-f8ee-4463-a98a-7c590b386d75,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Stringer,Supports: Stringer: Stringer - PFC200,,1000_STEEL GALVANIZED,Stringer - PFC200,Stringer - PFC200,Stringer,Supports,22931641,,,,,,2176602f-d981-4f8c-b896-110073a853c6,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Stringer,Supports: Stringer: Stringer - PFC200,,1000_STEEL GALVANIZED,Stringer - PFC200,Stringer - PFC200,Stringer,Supports,22931642,,,,,,2176602f-d981-4f8c-b896-110073a853c5,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Stringer,Supports: Stringer: Stringer - PFC200,,1000_STEEL GALVANIZED,Stringer - PFC200,Stringer - PFC200,Stringer,Supports,22931655,,,,,,2176602f-d981-4f8c-b896-110073a853b8,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Stringer,Supports: Stringer: Stringer - PFC200,,1000_STEEL GALVANIZED,Stringer - PFC200,Stringer - PFC200,Stringer,Supports,22931656,,,,,,2176602f-d981-4f8c-b896-110073a853b7,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Stringer,Supports: Stringer: Stringer - PFC200,,1000_STEEL GALVANIZED,Stringer - PFC200,Stringer - PFC200,Stringer,Supports,22931657,,,,,,2176602f-d981-4f8c-b896-110073a853b6,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Stringer,Supports: Stringer: Stringer - PFC200,,1000_STEEL GALVANIZED,Stringer - PFC200,Stringer - PFC200,Stringer,Supports,22931658,,,,,,2176602f-d981-4f8c-b896-110073a853b5,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Top Rail Type,Top Rails: Top Rail Type: Rail - Circular - 34mm,,,Rail - Circular - 34mm,Rail - Circular - 34mm,Top Rail Type,Top Rails,22927774,,,,,,d0254413-f427-4248-9039-6dfc96f31023,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Top Rail Type,Top Rails: Top Rail Type: Rail - Circular - 34mm,,,Rail - Circular - 34mm,Rail - Circular - 34mm,Top Rail Type,Top Rails,22927786,,,,,,d0254413-f427-4248-9039-6dfc96f31017,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Top Rail Type,Top Rails: Top Rail Type: Rail - Circular - 34mm,,,Rail - Circular - 34mm,Rail - Circular - 34mm,Top Rail Type,Top Rails,22930638,,,,,,f97fea0a-5173-4c90-a75c-88a2230380bd,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Top Rail Type,Top Rails: Top Rail Type: Rail - Circular - 34mm,,,Rail - Circular - 34mm,Rail - Circular - 34mm,Top Rail Type,Top Rails,22931664,,,,,,2176602f-d981-4f8c-b896-110073a853af,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Top Rail Type,Top Rails: Top Rail Type: Rail - Circular - 34mm,,,Rail - Circular - 34mm,Rail - Circular - 34mm,Top Rail Type,Top Rails,22931685,,,,,,2176602f-d981-4f8c-b896-110073a8539a,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Top Rail Type,Top Rails: Top Rail Type: Rail - Circular - 34mm,,,Rail - Circular - 34mm,Rail - Circular - 34mm,Top Rail Type,Top Rails,22931715,,,,,,2176602f-d981-4f8c-b896-110073a8527c,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Basic Wall,Walls: Basic Wall: 250 RC Wall,,10_ST_Concrete Insitu - 040MPa,250 RC Wall,250 RC Wall,Basic Wall,Walls,22921815,16.5,,,,,abbab186-6d8f-4ac7-b4fd-533582ab1279,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Basic Wall,Walls: Basic Wall: 250 RC Wall,,10_ST_Concrete Insitu - 040MPa,250 RC Wall,250 RC Wall,Basic Wall,Walls,22922020,8.663,,,,,abbab186-6d8f-4ac7-b4fd-533582ab130a,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Basic Wall,Walls: Basic Wall: 250 RC Wall,,10_ST_Concrete Insitu - 040MPa,250 RC Wall,250 RC Wall,Basic Wall,Walls,22922241,16.087,,,,,abbab186-6d8f-4ac7-b4fd-533582ab142f,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Basic Wall,Walls: Basic Wall: 250 RC Wall,,10_ST_Concrete Insitu - 040MPa,250 RC Wall,250 RC Wall,Basic Wall,Walls,22922468,8.25,,,,,abbab186-6d8f-4ac7-b4fd-533582ab14ca,JH-MOD-S-DP32-001_T0_SERVICE WATER PS.rvt
Non-Monolithic Landing,Landings: Non-Monolithic Landing: Non-Monolithic Landing,,,Non-Monolithic Landing,Non-Monolithic Landing,Non-Monolithic Landing,Landings,22932923,,,,,,892299bc-31eb-4716-af1f-a3eb8df30dab,JH-MOD-S-DP15-001_WAS PS.rvt
Non-Monolithic Landing,Landings: Non-Monolithic Landing: Non-Monolithic Landing,,,Non-Monolithic Landing,Non-Monolithic Landing,Non-Monolithic Landing,Landings,22942927,,,,,,27e708db-9b2f-41d3-bdf3-1b02da274dc5,JH-MOD-S-DP15-001_WAS PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED WITH KICKFLAT,,,INDUSTRIAL TOP MOUNTED WITH KICKFLAT,INDUSTRIAL TOP MOUNTED WITH KICKFLAT,Railing,Railings,22933903,,,,,,892299bc-31eb-4716-af1f-a3eb8df3119f,JH-MOD-S-DP15-001_WAS PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED WITH KICKFLAT,,,INDUSTRIAL TOP MOUNTED WITH KICKFLAT,INDUSTRIAL TOP MOUNTED WITH KICKFLAT,Railing,Railings,22935353,,,,,,12ef5ddb-556e-4884-af5b-25441184b7b6,JH-MOD-S-DP15-001_WAS PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED WITH KICKFLAT,,,INDUSTRIAL TOP MOUNTED WITH KICKFLAT,INDUSTRIAL TOP MOUNTED WITH KICKFLAT,Railing,Railings,22943870,,,,,,27e708db-9b2f-41d3-bdf3-1b02da274174,JH-MOD-S-DP15-001_WAS PS.rvt
Railing,Railings: Railing: INDUSTRIAL TOP MOUNTED WITH KICKFLAT,,,INDUSTRIAL TOP MOUNTED WITH KICKFLAT,INDUSTRIAL TOP MOUNTED WITH KICKFLAT,Railing,Railings,22943878,,,,,,27e708db-9b2f-41d3-bdf3-1b02da27418c,JH-MOD-S-DP15-001_WAS PS.rvt
Non-Monolithic Run,Runs: Non-Monolithic Run: Industrial GridMesh,,,Industrial GridMesh,Industrial GridMesh,Non-Monolithic Run,Runs,22931054,,,,,,9e735125-779a-4c78-a9bf-bf64980071fe,JH-MOD-S-DP15-001_WAS PS.rvt
Non-Monolithic Run,Runs: Non-Monolithic Run: Industrial GridMesh,,,Industrial GridMesh,Industrial GridMesh,Non-Monolithic Run,Runs,22931224,,,,,,9e735125-779a-4c78-a9bf-bf6498007088,JH-MOD-S-DP15-001_WAS PS.rvt
Slab Edge,Slab Edges: Slab Edge: Slab Upstand 150Wx300H,,10_ST_Concrete Insitu - 040MPa,Slab Upstand 150Wx300H,Slab Upstand 150Wx300H,Slab Edge,Slab Edges,22916577,,,,,,26fe771b-625b-47f4-a15f-3009b84b7922,JH-MOD-S-DP15-001_WAS PS.rvt
Slab Edge,Slab Edges: Slab Edge: Slab Edge,,10_ST_Concrete Insitu - 040MPa,Slab Edge,Slab Edge,Slab Edge,Slab Edges,22947845,,,,,,a52f0594-b940-453c-aa6c-c106964d04d7,JH-MOD-S-DP15-001_WAS PS.rvt
Assembled Stair,Stairs: Assembled Stair: Industrial Stair GridMesh,,,Stair,Industrial Stair GridMesh,Assembled Stair,Stairs,22930739,,,,,,9e735125-779a-4c78-a9bf-bf64980072a3,JH-MOD-S-DP15-001_WAS PS.rvt
UC-Universal Columns-Column (AS 3679_1)_CMP,Structural Columns: UC-Universal Columns-Column (AS 3679_1)_CMP: 200UC46.2,Metal - Steel - C350,,200UC46.2,200UC46.2,UC-Universal Columns-Column (AS 3679_1)_CMP,Structural Columns,22960328,,,,,,c9888b4a-6774-4671-951d-6c4747d69078,JH-MOD-S-DP15-001_WAS PS.rvt
UC-Universal Columns-Column (AS 3679_1)_CMP,Structural Columns: UC-Universal Columns-Column (AS 3679_1)_CMP: 200UC46.2,Metal - Steel - C350,,200UC46.2,200UC46.2,UC-Universal Columns-Column (AS 3679_1)_CMP,Structural Columns,22960772,,,,,,c9888b4a-6774-4671-951d-6c4747d69234,JH-MOD-S-DP15-001_WAS PS.rvt
UC-Universal Columns-Column (AS 3679_1)_CMP,Structural Columns: UC-Universal Columns-Column (AS 3679_1)_CMP: 200UC46.2,Metal - Steel - C350,,200UC46.2,200UC46.2,UC-Universal Columns-Column (AS 3679_1)_CMP,Structural Columns,22960822,,,,,,c9888b4a-6774-4671-951d-6c4747d69206,JH-MOD-S-DP15-001_WAS PS.rvt
UC-Universal Columns-Column (AS 3679_1)_CMP,Structural Columns: UC-Universal Columns-Column (AS 3679_1)_CMP: 200UC46.2,Metal - Steel - C350,,200UC46.2,200UC46.2,UC-Universal Columns-Column (AS 3679_1)_CMP,Structural Columns,22960824,,,,,,c9888b4a-6774-4671-951d-6c4747d69208,JH-MOD-S-DP15-001_WAS PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 200 RC Fdn Slab,,10_ST_Concrete Insitu - 040MPa,200 RC Fdn Slab,200 RC Fdn Slab,Foundation Slab,Structural Foundations,22627700,64.38,-6.75,-6.55,"Level ""SLAB WAS PS"", #22636762",34.6,c5ed3d74-5536-4de3-99fc-36b2761fdefe,JH-MOD-S-DP15-001_WAS PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 200 RC Fdn Slab,,10_ST_Concrete Insitu - 040MPa,200 RC Fdn Slab,200 RC Fdn Slab,Foundation Slab,Structural Foundations,22915868,0.81,-7.35,-7.15,"Level ""SLAB WAS PS"", #22636762",3.6,ec6ebcba-e3a4-4163-89bc-96acf1701833,JH-MOD-S-DP15-001_WAS PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 300 RC Fdn Slab,,10_ST_Concrete Insitu - 040MPa,300 RC Fdn Slab,300 RC Fdn Slab,Foundation Slab,Structural Foundations,22909270,15.906,-7.8,-7.5,"Level ""SLAB WET WELL"", #22630030",14.137,4a7ee862-c718-4004-8309-28920decc451,JH-MOD-S-DP15-001_WAS PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 450 RC Fdn Slab,,10_ST_Concrete Insitu - 040MPa,450 RC Fdn Slab,450 RC Fdn Slab,Foundation Slab,Structural Foundations,22915604,0.45,,-6.75,"Level ""SLAB WAS PS"", #22636762",6,ec6ebcba-e3a4-4163-89bc-96acf170193b,JH-MOD-S-DP15-001_WAS PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 140 RC Plinth,,10_ST_Concrete Insitu - 040MPa,140 RC Plinth,140 RC Plinth,Foundation Slab,Structural Foundations,22922982,0.863,-6.55,-6.41,"Level ""PUMP PLINTH"", #22916907",3.8,1173a841-e725-4c12-ac06-345fbe2dcfc4,JH-MOD-S-DP15-001_WAS PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 140 RC Plinth,,10_ST_Concrete Insitu - 040MPa,140 RC Plinth,140 RC Plinth,Foundation Slab,Structural Foundations,22937467,0.863,-6.55,-6.41,"Level ""PUMP PLINTH"", #22916907",3.8,063d3202-3a5c-4cc1-8b14-6ca0d1c19551,JH-MOD-S-DP15-001_WAS PS.rvt
Foundation Slab,Structural Foundations: Foundation Slab: 140 RC Plinth,,10_ST_Concrete Insitu - 040MPa,140 RC Plinth,140 RC Plinth,Foundation Slab,Structural Foundations,22937493,0.863,-6.55,-6.41,"Level ""PUMP PLINTH"", #22916907",3.8,063d3202-3a5c-4cc1-8b14-6ca0d1c195bf,JH-MOD-S-DP15-001_WAS PS.rvt
10_ST_FD_C_Pad-Cap Rectangle,Structural Foundations: 10_ST_FD_C_Pad-Cap Rectangle: 800 x 1200 x 3400 RC Fdn Pile Cap,,,800 x 1200 x 3400 RC Fdn Pile Cap,800 x 1200 x 3400 RC Fdn Pile Cap,10_ST_FD_C_Pad-Cap Rectangle,Structural Foundations,22965376,,-7.1,-6.3,"Level ""STAIR TOWER FDTN"", #22949185",,14ed1f67-75d5-48bb-81c8-fe710334f878,JH-MOD-S-DP15-001_WAS PS.rvt
10_ST_FD_C_Pad-Cap Rectangle,Structural Foundations: 10_ST_FD_C_Pad-Cap Rectangle: 800 x 1200 x 3400 RC Fdn Pile Cap,,,800 x 1200 x 3400 RC Fdn Pile Cap,800 x 1200 x 3400 RC Fdn Pile Cap,10_ST_FD_C_Pad-Cap Rectangle,Structural Foundations,22966342,,-7.1,-6.3,"Level ""STAIR TOWER FDTN"", #22949185",,14ed1f67-75d5-48bb-81c8-fe710334e4be,JH-MOD-S-DP15-001_WAS PS.rvt
UB-Universal Beams (AS 3679_1)_CMP,Structural Framing: UB-Universal Beams (AS 3679_1)_CMP: 250UB31.4,Metal - Steel - C350,,250UB31.4,250UB31.4,UB-Universal Beams (AS 3679_1)_CMP,Structural Framing,22961009,,-1.276,-1.024,,,c1168136-8586-47db-ac39-e2249cf60a02,JH-MOD-S-DP15-001_WAS PS.rvt
UB-Universal Beams (AS 3679_1)_CMP,Structural Framing: UB-Universal Beams (AS 3679_1)_CMP: 250UB31.4,Metal - Steel - C350,,250UB31.4,250UB31.4,UB-Universal Beams (AS 3679_1)_CMP,Structural Framing,22961073,,-1.276,-1.024,,,c1168136-8586-47db-ac39-e2249cf60ac2,JH-MOD-S-DP15-001_WAS PS.rvt
UB-Universal Beams (AS 3679_1)_CMP,Structural Framing: UB-Universal Beams (AS 3679_1)_CMP: 250UB31.4,Metal - Steel - C350,,250UB31.4,250UB31.4,UB-Universal Beams (AS 3679_1)_CMP,Structural Framing,22961190,,-1.276,-1.024,,,c1168136-8586-47db-ac39-e2249cf60d55,JH-MOD-S-DP15-001_WAS PS.rvt
UB-Universal Beams (AS 3679_1)_CMP,Structural Framing: UB-Universal Beams (AS 3679_1)_CMP: 250UB31.4,Metal - Steel - C350,,250UB31.4,250UB31.4,UB-Universal Beams (AS 3679_1)_CMP,Structural Framing,22961301,,-1.276,-1.024,,,c1168136-8586-47db-ac39-e2249cf60de6,JH-MOD-S-DP15-001_WAS PS.rvt
UB-Universal Beams (AS 3679_1)_CMP,Structural Framing: UB-Universal Beams (AS 3679_1)_CMP: 250UB31.4,Metal - Steel - C350,,250UB31.4,250UB31.4,UB-Universal Beams (AS 3679_1)_CMP,Structural Framing,22962505,,-3.926,-3.674,,,59f74ccb-77e0-4a65-9432-871b4eed4aa5,JH-MOD-S-DP15-001_WAS PS.rvt
UB-Universal Beams (AS 3679_1)_CMP,Structural Framing: UB-Universal Beams (AS 3679_1)_CMP: 250UB31.4,Metal - Steel - C350,,250UB31.4,250UB31.4,UB-Universal Beams (AS 3679_1)_CMP,Structural Framing,22962848,,-3.926,-3.674,,,59f74ccb-77e0-4a65-9432-871b4eed494c,JH-MOD-S-DP15-001_WAS PS.rvt
UB-Universal Beams (AS 3679_1)_CMP,Structural Framing: UB-Universal Beams (AS 3679_1)_CMP: 250UB31.4,Metal - Steel - C350,,250UB31.4,250UB31.4,UB-Universal Beams (AS 3679_1)_CMP,Structural Framing,22963009,,-3.926,-3.674,,,59f74ccb-77e0-4a65-9432-871b4eed48ad,JH-MOD-S-DP15-001_WAS PS.rvt
UB-Universal Beams (AS 3679_1)_CMP,Structural Framing: UB-Universal Beams (AS 3679_1)_CMP: 250UB31.4,Metal - Steel - C350,,250UB31.4,250UB31.4,UB-Universal Beams (AS 3679_1)_CMP,Structural Framing,22963101,,-3.926,-3.674,,,59f74ccb-77e0-4a65-9432-871b4eed4871,JH-MOD-S-DP15-001_WAS PS.rvt
CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing: CHS-Circular Hollow Sections (AS 1163_C350)_CMP: 88.9x5.5CHS,,,88.9x5.5CHS,88.9x5.5CHS,CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing,22964105,,,,,,ae40986e-6bc0-4266-bf0d-44273404e61d,JH-MOD-S-DP15-001_WAS PS.rvt
CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing: CHS-Circular Hollow Sections (AS 1163_C350)_CMP: 88.9x5.5CHS,,,88.9x5.5CHS,88.9x5.5CHS,CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing,22964821,,,,,,ae40986e-6bc0-4266-bf0d-44273404ebc1,JH-MOD-S-DP15-001_WAS PS.rvt
CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing: CHS-Circular Hollow Sections (AS 1163_C350)_CMP: 88.9x5.5CHS,,,88.9x5.5CHS,88.9x5.5CHS,CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing,22966434,,,,,,14ed1f67-75d5-48bb-81c8-fe710334e45a,JH-MOD-S-DP15-001_WAS PS.rvt
CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing: CHS-Circular Hollow Sections (AS 1163_C350)_CMP: 88.9x5.5CHS,,,88.9x5.5CHS,88.9x5.5CHS,CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing,22967159,,,,,,14ed1f67-75d5-48bb-81c8-fe710334e78f,JH-MOD-S-DP15-001_WAS PS.rvt
CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing: CHS-Circular Hollow Sections (AS 1163_C350)_CMP: 88.9x5.5CHS,,,88.9x5.5CHS,88.9x5.5CHS,CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing,22967618,,,,,,74025dd6-3a61-422a-a230-5d8207a210ae,JH-MOD-S-DP15-001_WAS PS.rvt
CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing: CHS-Circular Hollow Sections (AS 1163_C350)_CMP: 88.9x5.5CHS,,,88.9x5.5CHS,88.9x5.5CHS,CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing,22967886,,,,,,74025dd6-3a61-422a-a230-5d8207a213a2,JH-MOD-S-DP15-001_WAS PS.rvt
CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing: CHS-Circular Hollow Sections (AS 1163_C350)_CMP: 88.9x5.5CHS,,,88.9x5.5CHS,88.9x5.5CHS,CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing,22968202,,,,,,74025dd6-3a61-422a-a230-5d8207a21266,JH-MOD-S-DP15-001_WAS PS.rvt
CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing: CHS-Circular Hollow Sections (AS 1163_C350)_CMP: 88.9x5.5CHS,,,88.9x5.5CHS,88.9x5.5CHS,CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing,22968863,,,,,,91d38809-4e79-4374-bb4a-abe51afc69f3,JH-MOD-S-DP15-001_WAS PS.rvt
CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing: CHS-Circular Hollow Sections (AS 1163_C350)_CMP: 88.9x5.5CHS,,,88.9x5.5CHS,88.9x5.5CHS,CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing,22969440,,,,,,91d38809-4e79-4374-bb4a-abe51afc6f8c,JH-MOD-S-DP15-001_WAS PS.rvt
CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing: CHS-Circular Hollow Sections (AS 1163_C350)_CMP: 88.9x5.5CHS,,,88.9x5.5CHS,88.9x5.5CHS,CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing,22969642,,,,,,91d38809-4e79-4374-bb4a-abe51afc6ec6,JH-MOD-S-DP15-001_WAS PS.rvt
CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing: CHS-Circular Hollow Sections (AS 1163_C350)_CMP: 88.9x5.5CHS,,,88.9x5.5CHS,88.9x5.5CHS,CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing,22969948,,,,,,4ac69e7e-6ba5-4bf1-9a7a-c6b17747e1d4,JH-MOD-S-DP15-001_WAS PS.rvt
CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing: CHS-Circular Hollow Sections (AS 1163_C350)_CMP: 88.9x5.5CHS,,,88.9x5.5CHS,88.9x5.5CHS,CHS-Circular Hollow Sections (AS 1163_C350)_CMP,Structural Framing,22970060,,,,,,4ac69e7e-6ba5-4bf1-9a7a-c6b17747e144,JH-MOD-S-DP15-001_WAS PS.rvt
Stringer,Supports: Stringer: Stringer - PFC200,,1000_STEEL GALVANIZED,Stringer - PFC200,Stringer - PFC200,Stringer,Supports,22931056,,,,,,9e735125-779a-4c78-a9bf-bf64980071e0,JH-MOD-S-DP15-001_WAS PS.rvt
Stringer,Supports: Stringer: Stringer - PFC200,,1000_STEEL GALVANIZED,Stringer - PFC200,Stringer - PFC200,Stringer,Supports,22931057,,,,,,9e735125-779a-4c78-a9bf-bf64980071e1,JH-MOD-S-DP15-001_WAS PS.rvt
