gid,Code,Name,Includes,Associated,Level,Description,Img_1,Img_2,Page
189,B2010.30 / 21-02 20 10 30 / Ss 25 45,Exterior Wall Interior Skin,Includes: Materials to provide finish or protective covering on inside of face of exterior walls. May include insulation and vapor retarder. ,Associated Masterformat Sections: 09 20 00 ,100,N/A,,,63
190,B2010.30 / 21-02 20 10 30 / Ss 25 45,Exterior Wall Interior Skin,Includes: Materials to provide finish or protective covering on inside of face of exterior walls. May include insulation and vapor retarder. ,Associated Masterformat Sections: 09 20 00 ,200,"Inclusions:
• approximate thickness of layer",,,63
191,B2010.30 / 21-02 20 10 30 / Ss 25 45,Exterior Wall Interior Skin,Includes: Materials to provide finish or protective covering on inside of face of exterior walls. May include insulation and vapor retarder. ,Associated Masterformat Sections: 09 20 00 ,300,"Inclusions:
• Single model element separated by type of material
with accurate overall thickness and shape
• Openings with any dimension greater than 6” (15 cm) or
as noted
• Window and door openings at nominal dimensions",,,63
192,B2010.30 / 21-02 20 10 30 / Ss 25 45,Exterior Wall Interior Skin,Includes: Materials to provide finish or protective covering on inside of face of exterior walls. May include insulation and vapor retarder. ,Associated Masterformat Sections: 09 20 00 ,350,"Inclusions:
• Single element showing all layers such that they can be
measured
• All penetrations modeled to rough opening dimensions.
• Connection to interfacing systems",,,63
193,B2010.30 / 21-02 20 10 30 / Ss 25 45,Exterior Wall Interior Skin,Includes: Materials to provide finish or protective covering on inside of face of exterior walls. May include insulation and vapor retarder. ,Associated Masterformat Sections: 09 20 00 ,400,"Inclusions:
• Studs and tracks
• Individual masonry units
• Reinforcing
• Wall board
• Insulation",,,63
164,B2010.20.10 / 21-02 20 10 20 10 / Ss 25 11 90,Exterior Wall Construction (Wood),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: 01 83 16 ,100,N/A,,,57
165,B2010.20.10 / 21-02 20 10 20 10 / Ss 25 11 90,Exterior Wall Construction (Wood),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: 01 83 16 ,200,See B2010.20,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/777.png,,57
166,B2010.20.10 / 21-02 20 10 20 10 / Ss 25 11 90,Exterior Wall Construction (Wood),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: 01 83 16 ,300,See B2010.20,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/778.png,,57
167,B2010.20.10 / 21-02 20 10 20 10 / Ss 25 11 90,Exterior Wall Construction (Wood),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: 01 83 16 ,350,"Inclusions:
• King studs and headers
• Backing and blocking
• Shear panels
• All penetrations modeled at rough-opening
dimensions.
• Cladding and sheathing",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/783.png,,58
168,B2010.20.10 / 21-02 20 10 20 10 / Ss 25 11 90,Exterior Wall Construction (Wood),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: 01 83 16 ,400,"Inclusions:
• Individual studs",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/784.png,,58
174,B2010.20.30 / 21-02 20 10 20 30 / Ss 25 13 50,Exterior Wall Construction (Masonry),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: 01 83 16 ,100,N/A,,,60
175,B2010.20.30 / 21-02 20 10 20 30 / Ss 25 13 50,Exterior Wall Construction (Masonry),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: 01 83 16 ,200,See B2010.20,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/797.png,,60
176,B2010.20.30 / 21-02 20 10 20 30 / Ss 25 13 50,Exterior Wall Construction (Masonry),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: 01 83 16 ,300,See B2010.20,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/797.png,,60
177,B2010.20.30 / 21-02 20 10 20 30 / Ss 25 13 50,Exterior Wall Construction (Masonry),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: 01 83 16 ,350,"Inclusions
• All penetrations, modeled to rough opening dimensions.
• Anchor elements
• Exposed embeds
• Lintels
• Dowels
• Post-tension anchor points.
• Critical structural zones such as zones that cannot be
penetrated or cut
• Expansion joints
• Lifting points
• Bond beams",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/798.png,,60
178,B2010.20.30 / 21-02 20 10 20 30 / Ss 25 13 50,Exterior Wall Construction (Masonry),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: 01 83 16 ,400,"Inclusions:
• Waterproofing
• Coursing
• Reinforcements",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/803.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/804.png,61
169,B2010.20.20 / 21-02 20 10 20 20 / Ss 25 10 32 45,Exterior Wall Construction (Cold-Form Metal Framing),,,100,N/A,,,58
