"entity_type","sk","pk","workout_data_sport_id","workout_data_score_strain","workout_data_score_average_heart_rate","workout_data_score_kilojoule","workout_data_score_altitude_gain_meter","workout_data_score_altitude_change_meter","workout_data_score_zone_duration_zone_one_milli","workout_data_score_zone_duration_zone_three_milli","workout_data_score_zone_duration_zone_two_milli","workout_data_score_zone_duration_zone_zero_milli","workout_data_score_zone_duration_zone_five_milli","workout_data_score_zone_duration_zone_four_milli","workout_data_score_max_heart_rate","workout_data_score_percent_recorded","workout_data_score_distance_meter","workout_data_updated_at","workout_data_user_id","workout_data_score_state","workout_data_timezone_offset","workout_data_start","workout_data_created_at","workout_data_end","workout_data_id","workout_data_score","year","month","day"
"WhoopWorkout","2023-12-28T02:06:49.598000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_workout","55","10.1583","114","2041.7078","0.0","0.0","1220860","1404394","1888949","52872","0","112472","152","100","0.0","2023-12-28T02:06:53.727000+00:00","12957398","SCORED","+10:30","2023-12-28T00:24:00.016000+00:00","2023-12-28T02:06:49.598000+00:00","2023-12-28T01:41:59.524000+00:00","874910507",,"2023","12","28"
"WhoopWorkout","2023-11-06T08:12:48.071000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_workout","63","4.5311","100","273.8563","68.22927","15.627336","734441","65369","473001","199952","0","0","137","100","2021.6498","2023-11-06T08:13:48.427000+00:00","12960001","SCORED","+10:30","2023-11-06T07:48:12.865000+00:00","2023-11-06T08:12:48.071000+00:00","2023-11-06T08:12:46.394000+00:00","825256031",,"2023","11","06"
"WhoopWorkout","2024-01-19T19:17:31.518000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","48",,,,,,,,,,,,,,,"2024-01-23T19:19:05.236000+00:00","12800706","UNSCORABLE","-10:00","2024-01-18T21:51:23.713000+00:00","2024-01-19T19:17:31.518000+00:00","2024-01-19T03:26:11.616000+00:00","900407687",,"2024","01","19"
"WhoopWorkout","2023-12-25T21:30:13.591000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_workout","63",,,,,,,,,,,,,,,"2023-12-28T17:58:48.553000+00:00","12937797","UNSCORABLE","-08:00","2023-12-25T21:12:39.319000+00:00","2023-12-25T21:30:13.591000+00:00","2023-12-25T21:29:58.141000+00:00","872800078",,"2023","12","25"
"WhoopWorkout","2024-01-26T23:28:52.210000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_workout","1","13.1338","137","3317.6926","0.0","0.0","136507","2388821","1459250","30800","0","394137","172","100","0.0","2024-01-26T23:28:56.119000+00:00","12960001","SCORED","+10:30","2024-01-26T21:34:30.079000+00:00","2024-01-26T23:28:52.210000+00:00","2024-01-26T22:47:59.555000+00:00","908955696",,"2024","01","26"
"WhoopWorkout","2024-01-16T21:36:44.644000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_workout","18","12.1277","131","2794.5984","0.0","0.0","695987","2057196","1285310","69214","8651","202837","179","100","0.0","2024-01-16T21:36:48.691000+00:00","12960001","SCORED","+10:30","2024-01-16T20:09:00.819000+00:00","2024-01-16T21:36:44.644000+00:00","2024-01-16T21:20:59.975000+00:00","896972079",,"2024","01","16"
"WhoopWorkout","2023-12-28T22:02:40.585000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_workout","63","10.2537","128","1122.9158","82.91349","53.072414","60562","1510185","812296","0","28839","547933","168","100","1782.009","2023-12-28T22:11:25.544000+00:00","12937797","SCORED","-08:00","2023-12-28T20:59:17.891000+00:00","2023-12-28T22:02:40.585000+00:00","2023-12-28T21:48:37.934000+00:00","875810590",,"2023","12","28"
"WhoopWorkout","2024-01-01T03:43:29.226000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_workout","71","5.6035","105","543.4906","0.0","0.0","1007446","281662","500964","84595","0","14419","145","100","0.0","2024-01-01T04:22:55.931000+00:00","12957398","SCORED","+10:30","2024-01-01T02:48:00.367000+00:00","2024-01-01T03:43:29.226000+00:00","2024-01-01T03:19:29.414000+00:00","878982850",,"2024","01","01"
"WhoopWorkout","2024-01-21T23:11:08.227000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","48",,,,,,,,,,,,,,,"2024-01-25T23:15:22.809000+00:00","12800706","UNSCORABLE","-10:00","2024-01-21T17:47:18.751000+00:00","2024-01-21T23:11:08.227000+00:00","2024-01-21T18:15:04.944000+00:00","902876701",,"2024","01","21"
"WhoopWorkout","2023-11-07T03:08:05.917000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_workout","63","5.9324","111","655.9858","0.0","0.0","311449","127854","1231438","10575","0","27877","146","100","0.0","2023-11-07T03:14:25.448000+00:00","12957398","SCORED","+10:30","2023-11-07T02:22:30.498000+00:00","2023-11-07T03:08:05.917000+00:00","2023-11-07T02:50:59.652000+00:00","826104984",,"2023","11","07"
"WhoopWorkout","2023-12-27T22:01:13.756000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_workout","63",,,,,,,,,,,,,,,"2023-12-28T17:57:50.952000+00:00","12937797","UNSCORABLE","-08:00","2023-12-27T21:27:08.908000+00:00","2023-12-27T22:01:13.756000+00:00","2023-12-27T21:57:35.054000+00:00","874778898",,"2023","12","27"
"WhoopWorkout","2023-11-13T10:35:18.146000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_workout","17","15.1955","144","3052.5327","0.0","0.0","18265","993989","112510","30762","621948","1712068","189","100","0.0","2023-11-13T10:56:40.218000+00:00","12957398","SCORED","+09:30","2023-11-13T09:36:00.815000+00:00","2023-11-13T10:35:18.146000+00:00","2023-11-13T10:34:10.317000+00:00","832156626",,"2023","11","13"
"WhoopWorkout","2023-11-04T22:52:34.930000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_workout","235","5.2968","95","297.8485","0.0","0.0","580627","251862","331689","688297","0","24994","148","100","0.0","2023-11-04T22:54:17.846000+00:00","12937797","SCORED","-07:00","2023-11-04T21:58:30.370000+00:00","2023-11-04T22:52:34.930000+00:00","2023-11-04T22:29:47.801000+00:00","824084510",,"2023","11","04"
"WhoopWorkout","2023-12-15T02:46:59.525000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_workout","0","12.4997","149","1457.2706","0.0","0.0","360491","192260","270166","0","567172","408557","190","100","0.0","2023-12-15T02:47:03.051000+00:00","12960001","SCORED","+10:30","2023-12-13T09:58:30.514000+00:00","2023-12-15T02:46:59.525000+00:00","2023-12-13T10:28:29.121000+00:00","862623642",,"2023","12","15"
"WhoopWorkout","2024-01-01T19:30:06.004000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_workout","63",,,,,,,,,,,,,,,"2024-01-01T21:15:47.193000+00:00","12937797","UNSCORABLE","-08:00","2024-01-01T19:06:28.564000+00:00","2024-01-01T19:30:06.004000+00:00","2024-01-01T19:28:31.531000+00:00","879714936",,"2024","01","01"
"WhoopWorkout","2023-12-18T09:35:07.630000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_workout","59","8.9822","130","1591.6406","0.0","0.0","136505","942068","1703439","23110","0","164382","165","100","0.0","2023-12-18T09:35:11.277000+00:00","12960001","SCORED","+10:30","2023-12-18T08:21:00.398000+00:00","2023-12-18T09:35:07.630000+00:00","2023-12-18T09:10:29.863000+00:00","865645822",,"2023","12","18"
"WhoopWorkout","2024-01-28T23:35:35.880000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_workout","71","9.4261","116","1891.3313","0.0","0.0","74752","660764","2905234","228867","0","0","139","100","0.0","2024-01-29T00:37:57.872000+00:00","12957398","SCORED","+10:30","2024-01-28T22:13:30.077000+00:00","2024-01-28T23:35:35.880000+00:00","2024-01-28T23:17:59.656000+00:00","911333708",,"2024","01","28"
"WhoopWorkout","2024-01-07T12:28:21.419000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_workout","63","5.1261","104","430.2635","0.0","0.0","2290835","0","0","228791","0","0","117","100","0.0","2024-01-07T12:28:25.132000+00:00","12960001","SCORED","+10:30","2024-01-07T11:31:30.316000+00:00","2024-01-07T12:28:21.419000+00:00","2024-01-07T12:13:29.903000+00:00","885982291",,"2024","01","07"
"WhoopWorkout","2023-11-15T21:13:38.928000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","44","5.6762","113","388.73386","0.0","0.0","212450","483523","1186250","0","0","6729","141","100","0.0","2023-11-15T21:13:42.575000+00:00","12800706","SCORED","-10:00","2023-11-15T20:21:00.547000+00:00","2023-11-15T21:13:38.928000+00:00","2023-11-15T20:52:29.460000+00:00","834727733",,"2023","11","15"
"WhoopWorkout","2023-11-22T02:07:29.103000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_workout","63","5.9163","101","702.9559","0.0","0.0","770920","287416","873850","497955","0","0","138","100","0.0","2023-11-22T03:24:31.023000+00:00","12957398","SCORED","+09:30","2023-11-22T01:27:00.647000+00:00","2023-11-22T02:07:29.103000+00:00","2023-11-22T02:07:29.852000+00:00","840597396",,"2023","11","22"
"WhoopWorkout","2024-01-08T15:25:58.322000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","1",,,,,,,,,,,,,,,"2024-01-12T15:27:44.719000+00:00","12800706","UNSCORABLE","-08:00","2024-01-08T15:20:58.763000+00:00","2024-01-08T15:25:58.322000+00:00","2024-01-08T15:24:44.374000+00:00","887390970",,"2024","01","08"
"WhoopWorkout","2023-11-08T03:00:58.880000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_workout","63","5.4859","109","369.04495","112.692474","-40.206295","878677","502766","887287","0","0","27878","144","100","3047.7722","2023-11-08T03:14:24.319000+00:00","12800706","SCORED","-10:00","2023-11-08T02:15:09.416000+00:00","2023-11-08T03:00:58.880000+00:00","2023-11-08T02:53:25.326000+00:00","827123956",,"2023","11","08"
