"entity_type","cycle_data_score_strain","cycle_data_score_average_heart_rate","cycle_data_score_kilojoule","cycle_data_score_max_heart_rate","cycle_data_updated_at","cycle_data_user_id","cycle_data_score_state","cycle_data_timezone_offset","cycle_data_start","cycle_data_created_at","cycle_data_end","cycle_data_id","sk","pk","year","month","day"
"WhoopCycle","10.66483","83","6464.8184","144","2023-11-25T15:24:22.395000+00:00","12800706","SCORED","-10:00","2023-11-24T07:54:22.223000+00:00","2023-11-24T15:50:16.454000+00:00","2023-11-25T08:25:13.254000+00:00","465026640","2023-11-24T15:50:16.454000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_cycle","2023","11","24"
"WhoopCycle","10.068471","74","8938.932","157","2024-01-06T20:45:44.673000+00:00","12957398","SCORED","+10:30","2024-01-05T14:14:01.680000+00:00","2024-01-05T20:46:21.678000+00:00","2024-01-06T13:24:31.339000+00:00","487927141","2024-01-05T20:46:21.678000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_cycle","2024","01","05"
"WhoopCycle","0.0","0","0.0","0","2024-01-11T10:02:20.576000+00:00","12800706","SCORED","-10:00","2024-01-04T10:00:00+00:00","2024-01-04T18:22:33.425000+00:00","2024-01-05T10:00:00+00:00","487316511","2024-01-04T18:22:33.425000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_cycle","2024","01","04"
"WhoopCycle","0.0049746353","78","695.2865","98","2023-12-05T14:11:16.837000+00:00","12800706","SCORED","-10:00","2023-12-04T10:00:00+00:00","2023-12-04T23:57:00.691000+00:00","2023-12-05T07:54:39.070000+00:00","470432603","2023-12-04T23:57:00.691000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_cycle","2023","12","04"
"WhoopCycle","12.6728945","74","10172.852","159","2024-01-14T21:58:04.477000+00:00","12957398","SCORED","+10:30","2024-01-13T11:51:30.983000+00:00","2024-01-13T16:15:09.485000+00:00","2024-01-14T11:43:15.794000+00:00","492634281","2024-01-13T16:15:09.485000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_cycle","2024","01","13"
"WhoopCycle","5.672882","58","8110.151","142","2024-01-15T21:37:43.102000+00:00","12960001","SCORED","+10:30","2024-01-14T12:10:17.804000+00:00","2024-01-14T17:45:22.070000+00:00","2024-01-15T14:08:39.442000+00:00","493258865","2024-01-14T17:45:22.070000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_cycle","2024","01","14"
"WhoopCycle","5.650829","60","8119.986","140","2024-01-08T20:44:54.856000+00:00","12960001","SCORED","+10:30","2024-01-07T12:50:21.872000+00:00","2024-01-07T20:36:01.774000+00:00","2024-01-08T13:40:18.549000+00:00","489094222","2024-01-07T20:36:01.774000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_cycle","2024","01","07"
"WhoopCycle","0.0","0","0.0","0","2024-01-10T22:29:23.064000+00:00","12937797","SCORED","-08:00","2024-01-06T08:00:00+00:00","2024-01-06T22:25:37.503000+00:00",,"488527698","2024-01-06T22:25:37.503000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_cycle","2024","01","06"
"WhoopCycle","11.334492","91","9933.12","158","2023-12-20T15:02:02.841000+00:00","12937797","SCORED","-08:00","2023-12-18T08:00:00+00:00","2023-12-19T05:48:55.170000+00:00","2023-12-20T08:00:00+00:00","478066019","2023-12-19T05:48:55.170000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_cycle","2023","12","19"
"WhoopCycle","9.385118","72","9157.463","156","2024-01-28T20:25:17.356000+00:00","12957398","SCORED","+10:30","2024-01-27T14:16:49.014000+00:00","2024-01-27T20:12:34.657000+00:00","2024-01-28T14:20:20.276000+00:00","501273611","2024-01-27T20:12:34.657000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_cycle","2024","01","27"
"WhoopCycle","12.888753","82","5885.066","146","2023-11-24T15:50:21.600000+00:00","12800706","SCORED","-10:00","2023-11-23T07:46:50.118000+00:00","2023-11-23T12:30:52.910000+00:00","2023-11-24T07:54:22.223000+00:00","464368266","2023-11-23T12:30:52.910000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_cycle","2023","11","23"
"WhoopCycle","0.0","0","0.0","0","2024-01-06T10:00:17.839000+00:00","12800706","SCORED","-10:00","2023-12-30T10:00:00+00:00","2023-12-31T06:36:25.863000+00:00","2023-12-31T10:00:00+00:00","484593673","2023-12-31T06:36:25.863000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_cycle","2023","12","31"
"WhoopCycle","5.6498065","62","8616.477","128","2024-01-13T21:50:47.312000+00:00","12960001","SCORED","+10:30","2024-01-12T12:09:09.448000+00:00","2024-01-12T17:01:24.124000+00:00","2024-01-13T15:44:32.862000+00:00","492066646","2024-01-12T17:01:24.124000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_cycle","2024","01","12"
"WhoopCycle","10.498591","72","10222.231","132","2024-01-09T10:55:57.455000+00:00","12957398","SCORED","-08:00","2024-01-08T04:41:18.295000+00:00","2024-01-08T10:24:53.262000+00:00","2024-01-09T06:42:06.334000+00:00","489361387","2024-01-08T10:24:53.262000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_cycle","2024","01","08"
"WhoopCycle","4.9630303","75","5343.916","145","2023-11-12T14:59:18.589000+00:00","12800706","SCORED","-10:00","2023-11-11T06:44:48.146000+00:00","2023-11-11T11:11:07.390000+00:00","2023-11-12T06:48:57.136000+00:00","457985217","2023-11-11T11:11:07.390000Z","user#488e8420-a2d0-4055-8a70-4c3a542ca526#whoop_cycle","2023","11","11"
"WhoopCycle","6.8108263","70","9673.915","139","2024-01-24T19:16:44.333000+00:00","12957398","SCORED","+10:30","2024-01-23T13:25:48.646000+00:00","2024-01-23T20:30:10.577000+00:00","2024-01-24T14:19:23.254000+00:00","498812150","2024-01-23T20:30:10.577000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_cycle","2024","01","23"
"WhoopCycle","12.625482","64","10235.838","163","2024-01-26T21:02:27.679000+00:00","12960001","SCORED","+10:30","2024-01-25T12:13:40.135000+00:00","2024-01-25T19:28:03.779000+00:00","2024-01-26T12:51:09.712000+00:00","500042708","2024-01-25T19:28:03.779000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_cycle","2024","01","25"
"WhoopCycle","6.382989","73","6776.5923","148","2023-12-25T21:30:18.741000+00:00","12937797","SCORED","-08:00","2023-12-21T07:03:27.709000+00:00","2023-12-21T11:49:46.021000+00:00","2023-12-22T07:03:27.709000+00:00","479348261","2023-12-21T11:49:46.021000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_cycle","2023","12","21"
"WhoopCycle","12.933274","87","4074.1033","157","2024-01-02T15:15:57.542000+00:00","12937797","SCORED","-08:00","2024-01-01T08:00:00+00:00","2024-01-01T19:30:06.004000+00:00","2024-01-02T08:00:00+00:00","485568887","2024-01-01T19:30:06.004000Z","user#cbc30698-c736-42c4-95e9-434a4de3f234#whoop_cycle","2024","01","01"
"WhoopCycle","14.818338","69","11720.34","172","2024-01-27T22:12:06.380000+00:00","12960001","SCORED","+10:30","2024-01-26T12:51:09.712000+00:00","2024-01-26T21:02:22.505000+00:00","2024-01-27T13:29:43.820000+00:00","500674089","2024-01-26T21:02:22.505000Z","user#c4e2b886-7072-4fcc-8999-28848cec144d#whoop_cycle","2024","01","26"
"WhoopCycle","8.607768","71","9383.44","147","2024-01-27T22:31:25.851000+00:00","12957398","SCORED","+10:30","2024-01-26T13:13:39.531000+00:00","2024-01-26T21:01:42.409000+00:00","2024-01-27T14:16:49.014000+00:00","500673878","2024-01-26T21:01:42.409000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_cycle","2024","01","26"
"WhoopCycle","15.903021","79","12243.301","167","2024-01-29T19:37:51.807000+00:00","12957398","SCORED","+10:30","2024-01-28T14:20:20.276000+00:00","2024-01-28T20:25:12.185000+00:00","2024-01-29T12:50:07.992000+00:00","501886004","2024-01-28T20:25:12.185000Z","user#4f8aa7f7-dec9-4d29-a395-d27ade8f2441#whoop_cycle","2024","01","28"
